start_minute,start_label,start_timestamp,end_minute,end_label,end_timestamp,period
23.0,23',2026-06-30T21:22:31.117Z,26.0,26',2026-06-30T21:25:42.021Z,3
73.0,68',2026-06-30T22:26:34.716Z,76.0,71',2026-06-30T22:29:51.524Z,5
