break_number,interval,before_avg_momentum,after_avg_momentum,delta_after_minus_before,before_leader,after_leader
1,24' to 27',8.562027327030249,3.503418932209827,-5.058608394820421,Spain,Spain
2,68' to 71',36.140585031177935,6.414726766420162,-29.725858264757772,Spain,Spain
