start_minute,start_label,start_timestamp,end_minute,end_label,end_timestamp,period
25.0,25',2026-07-03T22:24:36.442Z,28.0,28',2026-07-03T22:27:37.853Z,3
78.0,73',2026-07-03T23:33:43.334Z,81.0,76',2026-07-03T23:36:52.254Z,5
