minute,home_recent_value,away_recent_value,raw_momentum,momentum,momentum_smoothed,is_hydration_break
0.0,0.0,0.0,0.0,0.0,0.0,False
0.25,0.0,0.0,0.0,0.0,0.0,False
0.5,0.0,0.0,0.0,0.0,0.0,False
0.75,0.0,0.0,0.0,0.0,0.0,False
1.0,0.0,0.0,0.0,0.0,0.0,False
1.25,0.0,0.0,0.0,0.0,0.0,False
1.5,0.0,0.0,0.0,0.0,0.0,False
1.75,0.0,0.0,0.0,0.0,0.0,False
2.0,0.0,0.0,0.0,0.0,0.0,False
2.25,0.0,0.0,0.0,0.0,0.0,False
2.5,0.0,0.0,0.0,0.0,0.0,False
2.75,0.0,0.0,0.0,0.0,0.0,False
3.0,0.0,0.0,0.0,0.0,-1.1388767647191154,False
3.25,0.0,0.0,0.0,0.0,-2.2777535294382307,False
3.5,0.0,0.0,0.0,0.0,-3.4166302941573465,False
3.75,0.0,0.0,0.0,0.0,-4.5555070588764615,False
4.0,0.0,0.014336035199999996,-0.014336035199999996,-10.24989088247204,-5.409664632415798,False
4.25,0.0,0.014336035199999996,-0.014336035199999996,-10.24989088247204,-6.263822205955135,False
4.5,0.0,0.014336035199999996,-0.014336035199999996,-10.24989088247204,-7.117979779494472,False
4.75,0.0,0.014336035199999996,-0.014336035199999996,-10.24989088247204,-7.9721373530338075,False
5.0,0.0,0.010752026399999996,-0.010752026399999996,-7.687418161854028,-8.541575735393366,False
5.25,0.0,0.010752026399999996,-0.010752026399999996,-7.687418161854028,-7.9721373530338075,False
5.5,0.0,0.010752026399999996,-0.010752026399999996,-7.687418161854028,-7.402698970674249,False
5.75,0.0,0.010752026399999996,-0.010752026399999996,-7.687418161854028,-6.833260588314691,False
6.0,0.0,0.007168017599999998,-0.007168017599999998,-5.12494544123602,-11.292088226097285,False
6.25,0.0,0.007168017599999998,-0.007168017599999998,-5.12494544123602,-16.03563505505966,False
6.5,0.0,0.007168017599999998,-0.007168017599999998,-5.12494544123602,-20.779181884022034,False
6.75,0.0,0.007168017599999998,-0.007168017599999998,-5.12494544123602,-25.522728712984403,False
7.0,0.0,0.07046318780000001,-0.07046318780000001,-50.37933962251538,-28.653310047936518,False
7.25,0.0,0.07046318780000001,-0.07046318780000001,-50.37933962251538,-32.0686105740684,False
7.5,0.0,0.07046318780000001,-0.07046318780000001,-50.37933962251538,-35.48391110020029,False
7.75,0.0,0.07046318780000001,-0.07046318780000001,-50.37933962251538,-38.89921162633219,False
8.0,0.0,0.05015938425000001,-0.05015938425000001,-35.86265017642303,-40.9862658496336,False
8.25,0.0,0.05015938425000001,-0.05015938425000001,-35.86265017642303,-38.04505405279285,False
8.5,0.0,0.05015938425000001,-0.05015938425000001,-35.86265017642303,-35.10384225595211,False
8.75,0.0,0.05015938425000001,-0.05015938425000001,-35.86265017642303,-32.16263045911136,False
9.0,0.0,0.033439589500000005,-0.033439589500000005,-23.90843345094869,-28.54284206394428,False
9.25,0.0,0.033439589500000005,-0.033439589500000005,-23.90843345094869,-26.536019162787458,False
9.5,0.0,0.033439589500000005,-0.033439589500000005,-23.90843345094869,-24.529196261630634,False
9.75,0.0,0.033439589500000005,-0.033439589500000005,-23.90843345094869,-22.522373360473814,False
10.0,0.0,0.024897753982000004,-0.024897753982000004,-17.801244066011627,-19.02488673036047,False
10.25,0.0,0.024897753982000004,-0.024897753982000004,-17.801244066011627,-16.855646403077614,False
10.5,0.0,0.024897753982000004,-0.024897753982000004,-17.801244066011627,-14.686406075794752,False
10.75,0.0,0.024897753982000004,-0.024897753982000004,-17.801244066011627,-12.517165748511893,False
