start_minute,start_label,start_timestamp,end_minute,end_label,end_timestamp,period
23.0,23',2026-07-06T01:22:24.324Z,26.0,26',2026-07-06T01:25:32.368Z,3
77.0,71',2026-07-06T02:32:50.098Z,81.0,75',2026-07-06T02:36:56.715Z,5
