break_number,interval,before_avg_momentum,after_avg_momentum,delta_after_minus_before,before_leader,after_leader
1,24' to 27',18.77621760938262,-41.885613342328675,-60.661830951711295,Canada,Morocco
2,68' to 71',-5.981225049256607,1.7753083482692482,7.756533397525855,Morocco,Canada
