minute,momentum,momentum_smoothed,home_recent_value,away_recent_value,is_hydration_break
0,0.0,0.0,0.0,0.0,False
1,0.0,0.0,0.0,0.0,False
2,0.0,0.0,0.0,0.0,False
3,0.0,0.0,0.0,0.0,False
4,0.0,0.0,0.0,0.0,False
5,0.0,0.0,0.0,0.0,False
6,0.0,-2.0878941935256643,0.0,0.0,False
7,-7.51641909669239,-4.906551354785311,0.0,0.010928629439999999,False
8,-5.637314322519292,6.985140527850897,0.0,0.00819647208,False
9,41.68262791298648,22.427396688890372,0.066069503,0.005464314719999999,False
10,19.683737741746263,24.03019106816298,0.04955212725,0.02093261136,False
11,13.332079545606229,12.810105997224811,0.0330347515,0.013650340499999998,False
12,5.101316575293096,-10.074792245128995,0.01651737575,0.009100226999999999,False
13,-57.763438148539564,-35.6376884104194,0.0,0.0839861645,False
14,-40.97549381513964,-41.84478448042299,0.0,0.059577038250000006,False
15,-27.316995876759762,-27.316995876759762,0.0,0.039718025500000004,False
16,-13.658497938379881,-25.694041477375013,0.0,0.019859012750000002,False
17,-43.327956740382476,-20.921647190722844,0.0,0.062997443,False
18,7.665298836389612,-11.055788521457504,0.05839317800000001,0.047248082250000004,False
19,-8.737360075087917,-4.677587360127939,0.043794883500000006,0.0564987215,False
20,-10.524837212709524,-10.820255696861684,0.029196589000000005,0.04449936075000001,False
21,-13.37582089327891,-13.030306676543388,0.014598294500000003,0.034046304,False
22,-14.982953393600418,-12.193976560845107,0.0,0.021784728000000003,False
23,-6.549769296002806,-26.848632870802703,0.0,0.009523152,False
24,-71.19249406768483,-47.789098416739066,0.0,0.10351157600000001,False
25,-51.5829944959621,-52.25387451625896,0.0,0.07500000000000001,False
26,-34.38866299730806,-29.6124598032375,0.0,0.05,False
27,0.0,0.0,0.0,0.0,True
28,0.0,0.0,0.0,0.0,True
29,0.0,0.0,0.0,0.0,True
30,0.0,0.0,0.0,0.0,True
31,0.0,0.0,0.0,0.0,False
32,0.0,0.0,0.0,0.0,False
33,0.0,0.0,0.0,0.0,False
34,0.0,0.0,0.0,0.0,False
35,0.0,-13.123659296957054,0.0,0.0,False
36,-47.2451734690454,-38.48252445836198,0.0,0.068692949,False
37,-62.944810499630506,-56.96629428687056,0.0,0.09151971175000001,False
38,-57.12178916427982,-52.65442644505334,0.0,0.0830532277,False
39,-35.21626203971379,-35.21626203971379,0.0,0.051203302150000005,False
