start_minute,start_label,start_timestamp,end_minute,end_label,end_timestamp,period
23.0,23',2026-07-06T19:22:30.929Z,26.0,26',2026-07-06T19:25:58.612Z,3
75.0,68',2026-07-06T20:30:09.549Z,79.0,72',2026-07-06T20:33:49.268Z,5
