start_minute,start_label,start_timestamp,end_minute,end_label,end_timestamp,period
25.0,25',2026-07-03T03:24:48.722Z,29.0,29',2026-07-03T03:28:09.875Z,3
72.0,67',2026-07-03T04:26:53.493Z,77.0,72',2026-07-03T04:31:04.143Z,5
