start_minute,start_label,start_timestamp,end_minute,end_label,end_timestamp,period
24.0,24',2026-07-02T23:23:29.682Z,27.0,27',2026-07-02T23:26:49.538Z,3
74.0,69',2026-07-03T00:28:50.205Z,77.0,72',2026-07-03T00:32:02.122Z,5
