minute,momentum,momentum_smoothed,home_recent_value,away_recent_value,is_hydration_break
0,0.0,0.0,0.0,0.0,False
1,0.0,0.0,0.0,0.0,False
2,0.0,-2.1353733918568114,0.0,0.0,False
3,-7.687344210684521,-5.018127470863506,0.0,0.01,False
4,-5.7655081580133904,-5.76550815801339,0.0,0.0075,False
5,-3.8436721053422604,-3.84367210534226,0.0,0.005,False
6,-1.9218360526711302,-7.260269532313158,0.0,0.0025,False
7,-19.2183605267113,-13.079162025122969,0.0,0.025,False
8,-14.413770395033477,-14.413770395033477,0.0,0.018750000000000003,False
9,-9.60918026335565,-4.177688919595218,0.0,0.0125,False
10,14.748778705859733,7.959414526159193,0.025435791999999995,0.00625,False
11,14.66502662815317,13.330418258242664,0.019076843999999996,0.0,False
12,9.776684418768781,9.77668441876878,0.012717895999999998,0.0,False
13,4.8883422093843905,23.039016040167287,0.006358947999999999,0.0,False
14,65.34242579081842,44.011956338279916,0.085,0.0,False
15,49.00681934311382,63.85635239670076,0.06375,0.0,False
16,86.12953188832222,67.56761557133854,0.112040686,0.0,False
17,56.42934569238937,56.42934569238936,0.0734055145,0.0,False
18,26.729159496456507,31.266827954152234,0.034770343,0.0,False
19,13.364579748228254,13.364579748228255,0.0173851715,0.0,False
20,0.0,3.7123832633967373,0.0,0.0,False
21,0.0,0.0,0.0,0.0,False
22,0.0,-3.269863963125422,0.0,0.0,False
23,-11.77151026725152,-7.684180313344742,0.0,0.015312843999999999,False
24,-8.82863270043864,-8.82863270043864,0.0,0.011484633,False
25,-5.88575513362576,-5.88575513362576,0.0,0.0076564219999999995,False
26,-2.94287756681288,-2.94287756681288,0.0,0.0038282109999999998,False
27,0.0,0.0,0.0,0.0,True
28,0.0,0.0,0.0,0.0,True
29,0.0,0.0,0.0,0.0,True
30,0.0,0.0,0.0,0.0,True
31,27.546128274085056,30.809190517760335,0.05379613575,0.017963047600000004,False
32,17.213351099605784,17.213351099605784,0.0358640905,0.013472285700000003,False
33,6.8805739251265114,22.326231694711254,0.01793204525,0.008981523800000002,False
34,52.15216472115231,22.387999300448257,0.072332351,0.004490761900000001,False
35,-9.727239997356481,7.171632702557784,0.05424926325,0.06690284,False
36,-10.770702996173922,-25.86355202504535,0.0361661755,0.05017713,False
37,-66.14842249892851,-51.26821262848668,0.01808308775,0.10413156000000001,False
38,-67.95738646809252,-59.113657756137016,0.0,0.08840164380000001,False
