break_number,interval,before_avg_momentum,after_avg_momentum,delta_after_minus_before,before_leader,after_leader
1,23' to 27',-36.30605457617438,0.0,36.30605457617438,Canada,Canada
2,67' to 71',-3.534548763488702,12.582155487753484,16.116704251242187,Canada,South Africa
