start_minute,start_label,start_timestamp,end_minute,end_label,end_timestamp,period
23.0,23',2026-06-28T19:22:51.907Z,27.0,27',2026-06-28T19:26:16.718Z,3
71.0,67',2026-06-28T20:27:01.156Z,75.0,71',2026-06-28T20:30:34.895Z,5
