minute,momentum,momentum_smoothed,home_recent_value,away_recent_value,is_hydration_break
0,0.0,-15.381236604984174,0.0,0.0,False
1,-42.085468235135856,-27.47245843126924,0.0,0.05739269300000001,False
2,-31.564101176351894,-31.56410117635189,0.0,0.04304451975000001,False
3,-21.042734117567928,-24.43643303901517,0.0,0.028696346500000004,False
4,-22.738683175994034,-18.49655952418498,0.0,0.031009142050000004,False
5,-9.16298708790755,-12.085589048680875,0.0,0.012495726600000001,False
6,-6.108658058605035,-6.108658058605034,0.0,0.008330484400000001,False
7,-3.0543290293025174,-3.0543290293025174,0.0,0.0041652422000000005,False
8,0.0,-0.8484247303618104,0.0,0.0,False
9,0.0,0.0,0.0,0.0,False
10,0.0,5.092289293296139,0.0,0.0,False
11,18.3322414558661,11.966879839245927,0.025,0.0,False
12,13.749181091899578,13.749181091899576,0.018750000000000003,0.0,False
13,9.16612072793305,29.53527790111761,0.0125,0.0,False
14,77.91202618743094,52.450579720950245,0.10625000000000001,0.0,False
15,54.99672436759831,56.26979669092234,0.07500000000000001,0.0,False
16,36.6644829117322,36.66448291173221,0.05,0.0,False
17,18.3322414558661,18.3322414558661,0.025,0.0,False
18,0.0,5.092289293296139,0.0,0.0,False
19,0.0,9.805317386690088,0.0,0.0,False
20,35.299142592084316,23.042495858721704,0.060640577,0.012502515600000002,False
21,26.47435694406323,26.47435694406323,0.04548043275,0.009376886700000002,False
22,17.649571296042158,17.649571296042158,0.0303202885,0.006251257800000001,False
23,8.824785648021079,8.824785648021079,0.01516014425,0.0031256289000000004,False
24,0.0,0.0,0.0,0.0,True
25,0.0,0.0,0.0,0.0,True
26,0.0,0.0,0.0,0.0,True
27,0.0,0.0,0.0,0.0,True
28,0.0,0.0,0.0,0.0,False
29,0.0,0.0,0.0,0.0,False
30,0.0,0.0,0.0,0.0,False
31,0.0,0.0,0.0,0.0,False
32,0.0,0.0,0.0,0.0,False
33,0.0,-14.161264010997836,0.0,0.0,False
34,-50.98055043959221,-35.146853963397106,0.0,0.069523073,False
35,-44.95979356488205,-42.624939142941805,0.0,0.061312460990000005,False
36,-30.533560771187016,-42.959689127732005,0.0,0.04163915368,False
37,-60.841390061053936,-50.401018908668846,0.0,0.08297047337,False
38,-53.56388320233453,-36.116481040368036,0.0,0.07304600931,False
39,16.524271439464254,-14.720584590362247,0.071786753,0.049252313500000006,False
40,-25.86905562611237,-10.244131300713956,0.05384006475,0.08911815074999999,False
41,-12.012655120254704,-1.01134334999551,0.0358933765,0.05227524549999999,False
42,41.44846775853606,22.540590610967726,0.08720750124999999,0.030683496999999997,False
43,26.841232906080826,17.072255654028222,0.051945609749999996,0.015341748499999999,False
44,-22.93432005376378,-9.27859693249778,0.034630406499999995,0.065906342,False
45,-23.549269777050785,-8.209570787562818,0.017315203249999998,0.049429756500000005,False
46,31.058696861818895,15.411034089807796,0.075308462,0.032953171,False
47,29.335077521448618,29.335077521448618,0.0564813465,0.0164765855,False
48,27.61145818107834,24.255316583809204,0.037654231,0.0,False
49,13.80572909053917,13.80572909053917,0.0188271155,0.0,False
50,0.0,-0.8516386370880653,0.0,0.0,False
51,-16.871628184056206,-12.960908470699918,0.0,0.023008135999999995,False
52,-19.664665400029772,-17.230309753506294,0.0,0.026817049959999995,False
