break_number,interval,before_avg_momentum,after_avg_momentum,delta_after_minus_before,before_leader,after_leader
1,24' to 27',17.159305426707654,0.0,-17.159305426707654,Colombia,Ghana
2,69' to 73',4.0124235221228854,5.668372401683348,1.6559488795604622,Colombia,Colombia
