minute,home_recent_value,away_recent_value,raw_momentum,momentum,momentum_smoothed,is_hydration_break
0.0,0.0,0.0,0.0,0.0,0.0,False
0.25,0.0,0.0,0.0,0.0,0.0,False
0.5,0.0,0.0,0.0,0.0,0.0,False
0.75,0.0,0.0,0.0,0.0,0.0,False
1.0,0.0,0.0,0.0,0.0,-0.9436245940268386,False
1.25,0.0,0.0,0.0,0.0,-1.8872491880536773,False
1.5,0.0,0.0,0.0,0.0,-2.8308737820805154,False
1.75,0.0,0.0,0.0,0.0,-3.7744983761073545,False
2.0,0.0,0.01,-0.01,-8.492621346241547,-5.6805009706178025,False
2.25,0.0,0.01,-0.01,-8.492621346241547,-7.58650356512825,False
2.5,0.0,0.01,-0.01,-8.492621346241547,-9.4925061596387,False
2.75,0.0,0.01,-0.01,-8.492621346241547,-11.398508754149146,False
3.0,0.0,0.020198738,-0.020198738,-17.15402335059403,-12.769034162905305,False
3.25,0.0,0.020198738,-0.020198738,-17.15402335059403,-13.195934977634623,False
3.5,0.0,0.020198738,-0.020198738,-17.15402335059403,-13.622835792363944,False
3.75,0.0,0.020198738,-0.020198738,-17.15402335059403,-14.049736607093262,False
4.0,0.0,0.014524053499999998,-0.014524053499999998,-12.334728678805424,-13.941160236068294,False
4.25,0.0,0.014524053499999998,-0.014524053499999998,-12.334728678805424,-12.870205864559715,False
4.5,0.0,0.014524053499999998,-0.014524053499999998,-12.334728678805424,-11.799251493051138,False
4.75,0.0,0.014524053499999998,-0.014524053499999998,-12.334728678805424,-10.728297121542557,False
5.0,0.0,0.008849369,-0.008849369,-7.515434007016821,-9.12186556427969,False
5.25,0.0,0.008849369,-0.008849369,-7.515434007016821,-8.05091119277111,False
5.5,0.0,0.008849369,-0.008849369,-7.515434007016821,-6.979956821262531,False
5.75,0.0,0.008849369,-0.008849369,-7.515434007016821,-5.909002449753952,False
6.0,0.0,0.0031746845,-0.0031746845,-2.696139335228217,-13.97472298126618,False
6.25,0.0,0.0031746845,-0.0031746845,-2.696139335228217,-22.5759206985327,False
6.5,0.0,0.0031746845,-0.0031746845,-2.696139335228217,-31.177118415799214,False
6.75,0.0,0.0031746845,-0.0031746845,-2.696139335228217,-39.77831613306573,False
7.0,0.0,0.1,-0.1,-84.92621346241548,-46.02045236526515,False
7.25,0.0,0.1,-0.1,-84.92621346241548,-52.79806578321886,False
7.5,0.0,0.1,-0.1,-84.92621346241548,-59.57567920117257,False
7.75,0.0,0.1,-0.1,-84.92621346241548,-66.35329261912628,False
8.0,0.0,0.07500000000000001,-0.07500000000000001,-63.69466009681161,-70.7718445520129,False
8.25,0.0,0.07500000000000001,-0.07500000000000001,-63.69466009681161,-66.0537215818787,False
8.5,0.0,0.07500000000000001,-0.07500000000000001,-63.69466009681161,-61.33559861174451,False
8.75,0.0,0.07500000000000001,-0.07500000000000001,-63.69466009681161,-56.61747564161031,False
9.0,0.0,0.05,-0.05,-42.46310673120774,-50.78171947487256,False
9.25,0.0,0.05,-0.05,-42.46310673120774,-47.305024793201895,False
9.5,0.0,0.05,-0.05,-42.46310673120774,-43.82833011153122,False
9.75,0.0,0.05,-0.05,-42.46310673120774,-40.35163542986056,False
10.0,0.0,0.0381559552,-0.0381559552,-32.40440796177562,-33.13404302456762,False
10.25,0.0,0.0381559552,-0.0381559552,-32.40440796177562,-28.275512104341775,False
10.5,0.0,0.0381559552,-0.0381559552,-32.40440796177562,-23.416981184115926,False
10.75,0.0,0.0381559552,-0.0381559552,-32.40440796177562,-18.558450263890084,False
11.0,0.011354930479999999,0.009866966400000001,0.0014879640799999976,1.2636715508248646,-13.657432063158181,False
