minute,momentum,momentum_smoothed,home_recent_value,away_recent_value,is_hydration_break
0,0.0,0.0,0.0,0.0,False
1,0.0,-2.3590614850670963,0.0,0.0,False
2,-8.492621346241547,-8.539504862383474,0.0,0.01,False
3,-17.15402335059403,-13.409385384999283,0.0,0.020198738,False
4,-12.334728678805424,-12.334728678805426,0.0,0.014524053499999998,False
5,-7.515434007016821,-7.515434007016821,0.0,0.008849369,False
6,-2.696139335228217,-26.876519557165956,0.0,0.0031746845,False
7,-84.92621346241548,-56.18687249219572,0.0,0.1,False
8,-63.69466009681161,-63.6946600968116,0.0,0.07500000000000001,False
9,-42.46310673120774,-45.56667745236656,0.0,0.05,False
10,-32.40440796177562,-25.84624664422885,0.0,0.0381559552,False
11,1.2636715508248646,-7.982354556965681,0.011354930479999999,0.009866966400000001,False
12,1.6460570753793833,1.646057075379383,0.00851619786,0.006577977600000001,False
13,2.0284425999339013,7.9260963126016435,0.0056774652399999995,0.0032889888000000003,False
14,23.64238149009229,15.494421668967908,0.02783873262,0.0,False
15,15.923665024202903,16.593339503227465,0.018750000000000003,0.0,False
16,10.615776682801934,4.952872423613545,0.0125,0.0,False
17,-15.078566991677235,-7.999936667691747,0.00625,0.0240049032,False
18,-15.289841499808652,-13.815428071641717,0.0,0.0180036774,False
19,-10.193227666539102,-10.193227666539102,0.0,0.0120024516,False
20,-5.096613833269551,-8.106902733910765,0.0,0.0060012258,False
21,-10.837040042308374,-8.489904981303951,0.0,0.012760536,False
22,-8.127780031731278,-6.622635581410672,0.0,0.009570401999999999,False
23,0.0,0.0,0.0,0.0,True
24,0.0,0.0,0.0,0.0,True
25,0.0,0.0,0.0,0.0,True
26,0.0,0.0,0.0,0.0,True
27,0.0,0.0,0.0,0.0,False
28,0.0,0.0,0.0,0.0,False
29,0.0,17.452147669795277,0.0,0.0,False
30,62.827731611263,41.0125470240189,0.073979198,0.0,False
31,47.120798708447246,31.806532580626737,0.0554843985,0.0,False
32,-23.717492254522337,-4.574659594746702,0.036989599,0.06491677400000001,False
33,-25.64158564229963,-30.777190402371716,0.0184947995,0.04868758050000001,False
34,-46.05385616633642,-17.309684781819847,0.0,0.0542280814,False
35,37.01289029388646,23.178750462659437,0.076138874,0.032556464300000004,False
36,70.27673336169207,55.67579706099313,0.12126012350000001,0.03850977999999999,False
37,50.97720574698151,54.06993129631872,0.086186413,0.026161123199999997,False
38,42.81149010988492,54.282109027757166,0.07422268530000001,0.0238124664,False
39,75.94000257712842,53.75722218800287,0.1038250351,0.0144062332,False
40,29.210505643519927,42.32548093367313,0.0643951584,0.030000000000000002,False
41,29.694919754462948,7.287678675437784,0.0562155525,0.02125,False
42,-50.48673401908462,-27.31142971354662,0.029021848099999997,0.08846961099999999,False
43,-47.237292292695386,-43.08218553155494,0.007605639399999999,0.06322720825,False
44,-29.02946622620054,-30.503879654367477,0.0038028196999999996,0.037984805499999996,False
45,-16.129528501106666,-15.232419952214224,0.0,0.018992402749999998,False
46,0.0,12.812223164650774,0.0,0.0,False
47,62.253531893849456,45.147787184769,0.073303082,0.0,False
48,62.92638283500929,57.28880161465436,0.07409535910000001,0.0,False
49,43.30394138289138,43.57280602658719,0.050990076700000005,0.0,False
50,24.649412648078386,42.399381509469386,0.0390245045,0.01,False
51,69.894771814273,51.61037166883242,0.08980058655,0.0075,False
52,49.316290456881525,54.58543817262165,0.0630695741,0.005,False
53,47.7067408761545,42.529701536568076,0.05867434115,0.0025,False
54,27.459849672916352,27.527065833840307,0.0323337737,0.0,False
55,7.454936649004444,17.874102778174876,0.0087781338,0.0,False
56,24.959021690106095,17.586954549271418,0.029389066900000003,0.0,False
57,15.923665024202903,34.03017999681831,0.018750000000000003,0.0,False
58,72.07176225971517,50.732878378842514,0.084863977,0.0,False
59,51.39987752408589,60.83612346435427,0.060522982749999996,0.0,False
60,64.6984781734228,70.81040072265621,0.07618198849999999,0.0,False
61,100.0,77.09991783193045,0.11774927424999998,0.0,False
62,52.86122602152684,60.07782965403524,0.07224370999999999,0.01,False
63,31.702225120083916,31.702225120083916,0.044829139999999996,0.0075,False
64,10.543224218640988,12.902285703708086,0.017414569999999997,0.005,False
65,-2.123155336560387,1.9850488000401025,0.0,0.0025,False
66,0.0,-0.5897653712667741,0.0,0.0,False
67,0.0,0.0,0.0,0.0,False
68,0.0,-14.562624552416064,0.0,0.0,False
69,-52.42544838869783,-49.07328659772564,0.0,0.061730585000000004,False
70,-92.78311432989577,-74.21921570546091,0.0,0.10925144375000001,False
71,-66.31074522312821,-60.97437093120768,0.0,0.07808042125,False
72,-20.62742866544675,-31.06144744572716,0.022620751199999997,0.046909398750000005,False
73,-12.506579716774771,-11.4427972106541,0.016965563399999998,0.03169197024999999,False
74,-0.5561137460683734,-3.7212115862456026,0.011310375599999999,0.011965195499999996,False
75,0.0,0.0,0.0,0.0,True
76,0.0,0.0,0.0,0.0,True
77,0.0,0.0,0.0,0.0,True
78,0.0,0.0,0.0,0.0,True
79,0.0,5.897653712667741,0.0,0.0,False
80,21.23155336560387,13.859486224769192,0.025,0.0,False
81,15.923665024202903,39.514279874873864,0.018750000000000003,0.0,False
82,95.54199014521741,66.0537215818787,0.1125,0.0,False
83,69.00254843821259,69.00254843821259,0.08125000000000002,0.0,False
84,42.46310673120774,43.93752015937467,0.05,0.0,False
85,21.23155336560387,35.68488425075981,0.025,0.0,False
86,52.0319911865614,39.86298129278421,0.061267292,0.0,False
87,39.023993389921046,41.190416461903965,0.045950469,0.0,False
88,33.815118652419216,31.107089812440563,0.0398170568,0.0,False
89,18.85734009099423,18.857340090994235,0.022204381099999997,0.0,False
90,3.8995615295692576,7.512894250858242,0.004591705399999999,0.0,False
91,1.9497807647846288,3.2676891000030928,0.0022958526999999995,0.0,False
92,4.744470006786471,27.22930520643009,0.070033607,0.064447028,False
93,88.48456596750535,58.99629740416663,0.15252520525000002,0.048335271,False
94,66.06689510020485,66.06689510020485,0.11001680350000001,0.032223514,False
95,43.64922423290436,43.64922423290436,0.06750840175,0.016111757,False
96,21.23155336560387,34.28051837629244,0.025,0.0,False
97,45.79015653678224,32.01734495569042,0.05391757700000001,0.0,False
98,20.766638016030075,31.672446564286727,0.04043818275000001,0.015985617200000003,False
99,35.00403026900186,30.77473805415928,0.05320620450000001,0.011989212900000002,False
100,34.01597054854036,29.627700165822667,0.04804636705000001,0.007992808600000002,False
101,17.23013745029516,15.973098669296757,0.0242847661,0.003996404300000001,False
102,-4.0810352595442865,0.5223268475663004,0.014002559400000001,0.0188079488,False
103,-8.82010438378562,-13.970312797712982,0.003720352700000001,0.014105961600000001,False
104,-57.622153369662925,-18.58051418096108,0.0,0.06784966740000001,False
