start_minute,start_label,start_timestamp,end_minute,end_label,end_timestamp,period
23.0,23',2026-07-01T16:22:28.802Z,26.0,26',2026-07-01T16:25:35.325Z,3
75.0,68',2026-07-01T17:30:20.831Z,78.0,71',2026-07-01T17:33:26.16Z,5
