break_number,interval,before_avg_momentum,after_avg_momentum,delta_after_minus_before,before_leader,after_leader
1,24' to 27',18.203572478315213,31.883396661486337,13.679824183171124,Côte d'Ivoire,Côte d'Ivoire
2,68' to 72',10.203816195898208,42.06750011071101,31.863683914812803,Côte d'Ivoire,Côte d'Ivoire
