minute,momentum,momentum_smoothed,home_recent_value,away_recent_value,is_hydration_break
0,0.0,-19.46119520524612,0.0,0.0,False
1,-53.24887287428906,-50.225855462935776,0.0,0.073690937,False
2,-95.61488306770629,-77.96418281052749,0.0,0.13232111675,False
3,-74.43837233527988,-72.33584990849404,0.0,0.10301501440399999,False
4,-45.692780866424435,-45.692780866424435,0.0,0.063234086553,False
5,-16.94718939756899,-6.340627123398864,0.0,0.023453158702,False
6,49.98202625829891,28.23498178330495,0.07126492400000001,0.002094965101,False
7,38.62188180418855,50.729265273550155,0.053448693000000005,0.0,False
8,70.84831783977997,55.18845789638149,0.09804675,0.0,False
9,46.69925807913688,42.7093708721724,0.064626947,0.0,False
10,8.18660437342166,19.48614590856741,0.031207144,0.019877729599999998,False
11,10.352300194231123,6.932197244999065,0.0292348108,0.014908297199999998,False
12,0.2056253978051757,3.3375973864848705,0.0102234291,0.009938864799999999,False
13,1.334049760626129,1.334049760626129,0.0068156194,0.0049694323999999995,False
14,2.462474123447082,0.6991923272778019,0.0034078097,0.0,False
15,-2.7569159799413736,-1.115632897059762,0.025,0.0288152868,False
16,-2.0676869849560275,-2.067686984956029,0.018750000000000003,0.021611465099999998,False
17,-1.3784579899706868,-1.3784579899706861,0.0125,0.0144076434,False
18,-0.6892289949853434,-0.6892289949853434,0.00625,0.0072038217,False
19,0.0,-0.19145249860703983,0.0,0.0,False
20,0.0,-4.694693127794144,0.0,0.0,False
21,-16.90089526005892,-8.979689441623739,0.0,0.0233890924,False
22,-5.2854495737511895,-7.043781827239118,0.01022730332,0.017541819299999997,False
23,0.0,0.0,0.0,0.0,True
24,0.0,0.0,0.0,0.0,True
25,0.0,0.0,0.0,0.0,True
26,0.0,0.0,0.0,0.0,True
27,0.0,-0.484810298558609,0.0,0.0,False
28,0.0,2.007214751006817,0.0,0.0,False
29,7.2259731036245425,4.716954664866021,0.01,0.0,False
30,5.419479827718407,0.24532539985460433,0.0075,0.0,False
31,-15.013969388497417,-8.546276353667665,0.005,0.025777782,False
32,-12.16372367932613,0.7096380494769376,0.0025,0.0193333365,False
33,37.0306242535362,21.44072578028407,0.064135448,0.012888891,False
34,30.101337682690865,26.628609195746105,0.048101586,0.0064444455,False
35,10.670228558844395,13.717600560559392,0.032067724,0.0173012304,False
36,2.2096586411719152,-0.17330052900194548,0.016033862,0.0129759228,False
37,-14.829564289126463,-8.63252489420837,0.0,0.020522584400000002,False
