start_minute,start_label,start_timestamp,end_minute,end_label,end_timestamp,period
23.0,23',2026-06-29T20:52:51.079Z,26.0,26',2026-06-29T20:56:03.86Z,3
76.0,70',2026-06-29T22:02:50.27Z,79.0,73',2026-06-29T22:05:48.494Z,5
