start_minute,start_label,start_timestamp,end_minute,end_label,end_timestamp,period
23.0,23',2026-07-03T18:22:23.992Z,26.0,26',2026-07-03T18:25:42.602Z,3
74.0,68',2026-07-03T19:29:26.112Z,77.0,71',2026-07-03T19:32:42.584Z,5
