minute,momentum,momentum_smoothed,home_recent_value,away_recent_value,is_hydration_break
0,0.0,4.077911207330942,0.0,0.0,False
1,11.157802651980429,18.166263879824243,0.018743713199999998,0.0,False
2,47.54606572419859,38.07659848221152,0.07987144489999999,0.0,False
3,49.84424672526331,44.67686474683861,0.0837321016,0.0,False
4,33.53985260399911,33.53985260399911,0.056342758300000004,0.0,False
5,17.23545848273489,20.481543666831026,0.028953415,0.0,False
6,12.616971024216754,12.248598367026368,0.0211949336,0.0,False
7,6.672341999813228,7.705818395498168,0.011208700200000001,0.0,False
8,4.448227999875485,4.448227999875485,0.007472466800000001,0.0,False
9,2.2241139999377424,13.242544088841772,0.0037362334000000004,0.0,False
10,39.6663483200545,26.51112015335162,0.06663450500000001,0.0,False
11,29.749761240040876,29.749761240040876,0.04997587875000001,0.0,False
12,19.83317416002725,19.83317416002725,0.033317252500000005,0.0,False
13,9.916587080013626,21.544565515641988,0.016658626250000003,0.0,False
14,41.86072236826211,30.08035684595266,0.070320779,0.0,False
15,31.39554177619658,20.891498188927116,0.05274058425,0.0,False
16,-16.884195730039018,-7.88804682869195,0.0351603895,0.063523727,False
17,-32.77779719142517,-26.287565426523745,0.01758019475,0.07264279525,False
18,-25.30656429916619,-24.053131923355004,0.008,0.050511863500000004,False
19,-13.322974853986937,-13.322974853986937,0.006,0.02838093175,False
20,-1.3393854088076833,-3.96539630562505,0.004,0.00625,False
21,1.1905648078290518,0.157088412144111,0.002,0.0,False
22,0.0,0.33071244661918103,0.0,0.0,False
23,0.0,0.0,0.0,0.0,True
24,0.0,0.0,0.0,0.0,True
25,0.0,0.0,0.0,0.0,True
26,0.0,0.0,0.0,0.0,True
27,0.0,0.0,0.0,0.0,True
28,-32.72873386687394,-48.05218086943026,0.0,0.05498018025,False
29,-81.3473963027019,-60.67786838900307,0.0,0.13665345350000002,False
30,-55.555758249214094,-55.555758249214094,0.0,0.09332672675,False
31,-29.764120195726292,-29.27697989373607,0.0,0.05,False
32,-2.2187770550736863,-4.962188100724121,0.021272732000000003,0.025,False
33,15.450286321237353,19.04784311947502,0.025954549,0.0,False
34,46.070554171203995,44.670522548579065,0.07739277,0.0,False
35,71.6507081797209,58.09072400120939,0.12036423000000002,0.0,False
36,48.41491914559635,49.294313801345616,0.08133101000000001,0.0,False
37,28.344950872169164,38.3727131419722,0.047615973000000006,0.0,False
38,44.37492677003291,34.80656592370841,0.074544328,0.0,False
39,25.958803621128457,28.67080045683076,0.043607544,0.0,False
