minute,raw_momentum,momentum
0.0,0.0,0.0
0.25,0.0,0.0
0.5,0.0,0.0
0.75,0.0,0.0
1.0,0.0,0.0
1.25,0.0,0.0
1.5,0.0,0.0
1.75,0.0,0.0
2.0,0.0,0.0
2.25,0.0,0.0
2.5,0.0,0.0
2.75,0.0,0.0
3.0,0.0,0.0
3.25,0.0,0.0
3.5,0.0,0.0
3.75,0.0,0.0
4.0,0.0,0.0
4.25,0.0,0.0
4.5,0.0,0.0
4.75,0.0,0.0
5.0,-0.2041354,-1.2283632061885286
5.25,-0.19548072874671563,-1.1762846361355532
5.5,-0.18719298716120283,-1.126414026598734
5.75,-0.1792566186293338,-1.078657767295838
6.0,-0.1716567260863831,-1.032926216713493
6.25,-0.1643790440542969,-0.9891335338444067
6.5,-0.15740991186449008,-0.9471975170583775
6.75,-0.15073624801590904,-0.9070394498046456
7.0,-0.5268332256202284,-3.170163284513652
7.25,-0.5044972252349424,-3.0357587616004382
7.5,-0.4831081979883082,-2.9070525495180193
7.75,-0.4626259953259799,-2.7838030585816074
8.0,-0.4430121708606014,-2.665778941716471
8.25,-0.424229908205509,-2.552758660204865
8.5,-0.4062439518680501,-2.4445300678438735
8.75,-0.38902054107279826,-2.3408900127336003
9.0,-0.1725273463904458,-1.0381650824274813
9.25,-0.16521275291371013,-0.9941502888392612
9.5,-0.15820827420341163,-0.9520015780999109
9.75,-0.15150076241084653,-0.9116398344186943
10.0,-0.14507762711296174,-0.8729892962548459
10.25,-0.1389268116793365,-0.8359774141083793
10.5,-0.13303677064112557,-0.8005347143400944
10.75,-0.12739644801948552,-0.7665946687651698
11.0,-0.27882824657280464,-1.6778195204560102
11.25,-0.2670068436695485,-1.606685477208783
11.5,-0.2556866294669309,-1.5385672840258842
11.75,-0.24484635520829356,-1.4733370787586808
12.0,-0.23446567301455024,-1.4108724201941654
12.25,-0.22452509768993234,-1.3510560582250695
12.5,-0.21500597014704692,-1.2937757137640096
12.75,-0.20589042238259175,-1.2389238679885544
13.0,-0.393062583937985,-2.3652125787041878
13.25,-0.3763980198988729,-2.2649353249166633
13.5,-0.36043997870360767,-2.1689094977102865
13.75,-0.34515850610149873,-2.076954850545666
14.0,-1.0305249178038136,-6.201074836067934
14.25,-0.98683404213056,-5.938169606876025
14.5,-0.9449955162492587,-5.68641069688904
14.75,-0.9049308066057324,-5.445325538740407
15.0,-8.298464469210856,-49.93513335678883
15.25,-7.946636800476863,-47.818047524581765
15.5,-7.60972547065666,-45.7907191861398
15.75,-7.287098075916316,-43.8493429181946
16.0,-6.978149024269728,-41.99027463493992
16.25,-6.6822983988442415,-40.210024747852565
16.5,-6.398990869340071,-38.50525161551445
16.75,-6.12769464964027,-36.8727552711407
17.0,-5.8679004996146205,-35.309471416039955
17.25,-5.619120769243758,-33.81246566773236
17.5,-5.380888483269317,-32.3789280519284
17.75,-5.152756464651869,-31.006167728029713
18.0,-4.745343075191414,-28.554600693004037
18.25,-4.544156096843556,-27.34397930265843
18.5,-4.351498786343816,-26.184684287579618
