break_number,interval,before_avg_momentum,after_avg_momentum,delta_after_minus_before,before_leader,after_leader
1,23' to 26',-5.380714264029952,23.62340155372715,29.0041158177571,Egypt,Argentina
2,70' to 74',-4.234416918306922,18.41848845608728,22.6529053743942,Egypt,Argentina
