start_minute,start_label,start_timestamp,end_minute,end_label,end_timestamp,period
24.0,24',2026-07-04T17:24:25.95Z,27.0,27',2026-07-04T17:27:35.252Z,3
75.0,68',2026-07-04T18:31:28.028Z,78.0,71',2026-07-04T18:34:36.028Z,5
