event_id,timestamp,match_minute_label,match_minute,period,type_id,event_type,description,team_id,team,team_abbr,side,x,y,goal_x,goal_y,home_goals,away_goals,attacking_team_id,attacking_team,attacking_abbr,proxy_value,signed_proxy_value,location_danger,score_reason
1423058978,2026-07-05T21:56:20.205Z,90'+5',95.0,5,5,Substitution,Leo OSTIGARD (in) comes off the bench to replace David MOLLER WOLFE (out) (Norway),43961,Norway,NOR,away,,,,,0,2,43961,Norway,NOR,0.0,-0.0,0.0,annotation/no threat
1497401405,2026-07-05T21:57:24.825Z,90'+6',96.0,5,2,Yellow card,NEYMAR JR (Brazil) is booked by the referee.,43924,Brazil,BRA,home,80.47436,15.95885,,,0,2,43924,Brazil,BRA,0.0,0.0,0.6094872,annotation/no threat
1636373568,2026-07-05T21:59:41.441Z,90'+8',98.0,5,18,Foul,Torbjorn HEGGEM (Norway) commits a foul.,43961,Norway,NOR,away,36.02601,67.09145,,,0,2,43924,Brazil,BRA,0.014148555600000001,0.014148555600000001,0.27947980000000006,"foul credited to opponent, boosted near goal"
1694721090,2026-07-05T22:00:00.6Z,90'+8',98.0,5,18,Foul,Leo OSTIGARD (Norway) commits a foul.,43961,Norway,NOR,away,14.15501,26.489610000000003,,,0,2,43924,Brazil,BRA,0.0237717956,0.0237717956,0.7168998,"foul credited to opponent, boosted near goal"
1769961535,2026-07-05T22:01:59.96Z,90'+10',100.0,5,6,Penalty Awarded,,43924,Brazil,BRA,home,10.36506,50.05325048,,,0,2,43924,Brazil,BRA,0.085,0.085,0.7926988,penalty awarded
1769985066,2026-07-05T22:01:59.96Z,90'+10',100.0,5,12,Attempt at Goal,NEYMAR JR (Brazil) attempts an effort on goal.,43924,Brazil,BRA,home,10.36506,50.05325048,,,0,2,43924,Brazil,BRA,0.070671446,0.070671446,0.7926988,shot weighted by location
1769985068,2026-07-05T22:01:59.96Z,90'+10',100.0,5,41,Penalty Goal,NEYMAR JR (Brazil) successfully converts the penalty!,43924,Brazil,BRA,home,10.36506,50.05325048,,,1,2,43924,Brazil,BRA,0.0,0.0,0.7926988,annotation/no threat
1891481668,2026-07-05T22:04:01.515Z,90'+12',102.0,5,8,End Time,The referee brings the second period to an end.,,,,,,,,,1,2,,,,0.0,0.0,0.0,annotation/no threat
1972722723,2026-07-05T22:05:20.381Z,102',102.0,10,26,Match end,The final whistle sounds.,,,,,,,,,1,2,,,,0.0,0.0,0.0,annotation/no threat
523208721,2026-07-05T21:06:35.547Z,,,4,5,Substitution,Before the second half begins Oscar BOBB (in) comes off the bench to replace Alexander SORLOTH (out) (Norway),43961,Norway,NOR,away,,,,,0,0,43961,Norway,NOR,0.0,-0.0,0.0,annotation/no threat
523208722,2026-07-05T21:06:35.547Z,,,4,5,Substitution,Before the second half begins Andreas SCHJELDERUP (in) comes off the bench to replace Antonio NUSA (out) (Norway),43961,Norway,NOR,away,,,,,0,0,43961,Norway,NOR,0.0,-0.0,0.0,annotation/no threat
