start_minute,start_label,start_timestamp,end_minute,end_label,end_timestamp,period
27.0,27',2026-07-05T20:26:11.355Z,30.0,30',2026-07-05T20:29:16.952Z,3
75.0,68',2026-07-05T21:29:38.104Z,78.0,71',2026-07-05T21:32:43.104Z,5
