start_minute,start_label,start_timestamp,end_minute,end_label,end_timestamp,period
22.0,22',2026-06-30T01:21:39.022Z,26.0,26',2026-06-30T01:25:03.402Z,3
74.0,67',2026-06-30T02:29:02.464Z,78.0,71',2026-06-30T02:32:42.306Z,5
