minute,momentum,momentum_smoothed,home_recent_value,away_recent_value,is_hydration_break
0,0.0,0.0,0.0,0.0,False
1,0.0,0.0,0.0,0.0,False
2,0.0,4.950219782780525,0.0,0.0,False
3,17.82079121800989,7.660928850442114,0.025,0.0,False
4,-0.9339220872242152,4.031187461640934,0.018750000000000003,0.020060158,False
5,-1.8142410165437806,-1.8142410165437803,0.0125,0.015045118500000001,False
6,-2.694559945863345,6.242975579715642,0.00625,0.010030079,False
7,28.600249016901444,18.665884555622842,0.066761387,0.026639362299999997,False
8,24.13134591906326,23.138324009290233,0.050071040250000004,0.0162182421,False
9,16.087563946042177,20.79941512239258,0.0333806935,0.010812161399999999,False
10,25.006446207882544,20.804027903513557,0.04048651835,0.0054060806999999995,False
11,18.79662257399456,18.921761872803035,0.026368950659999998,0.0,False
12,13.037300415817082,13.03730041581708,0.01828945227,0.0,False
13,7.2779782576396,4.5092594256262455,0.010209953879999999,0.0,False
14,-8.448731695785959,-3.8098703616816643,0.0021304554899999996,0.013982807599999997,False
15,-7.475540846436058,-5.073604016806593,0.0,0.010487105699999999,False
16,2.1446225895799182,-0.3304873018103446,0.01,0.006991403799999999,False
17,2.854390416590948,2.854390416590948,0.0075,0.0034957018999999994,False
18,3.564158243601978,2.8719785355986396,0.005,0.0,False
19,1.782079121800989,-13.612352365257046,0.0025,0.0,False
20,-55.41995335340892,-48.729512418262246,0.0,0.077746202,False
21,-88.5363984620908,-54.743941914653945,0.0,0.1242037985,False
22,0.0,0.0,0.0,0.0,True
23,0.0,0.0,0.0,0.0,True
24,0.0,0.0,0.0,0.0,True
25,0.0,0.0,0.0,0.0,True
26,0.0,0.0,0.0,0.0,True
27,15.238668631726819,9.947464245710563,0.0213776544,0.0,False
28,11.429001473795116,13.074277001245354,0.0160332408,0.0,False
29,13.542326214684271,11.485731805371472,0.018997930632000004,0.0,False
30,8.25191108204735,12.14167799181513,0.011576241174000001,0.0,False
31,16.964656824574433,13.160689064567961,0.023798966916000003,0.0,False
32,11.983118631078217,13.963206544190427,0.016810587258,0.0,False
33,14.129896924785958,12.066105915258255,0.019822207600000002,0.0,False
34,8.847027584193969,8.847027584193969,0.0124111038,0.0,False
35,3.564158243601978,4.536599971043922,0.005,0.0,False
36,1.782079121800989,16.129752974295556,0.0025,0.0,False
37,51.651625868980446,39.16227531442081,0.072459782,0.0,False
38,56.559510619745225,50.371735891269566,0.0793448365,0.0,False
