minute,home_recent_value,away_recent_value,raw_momentum,momentum,momentum_smoothed,is_hydration_break
0.0,0.0,0.0,0.0,0.0,0.0,False
0.25,0.0,0.0,0.0,0.0,0.0,False
0.5,0.0,0.0,0.0,0.0,0.0,False
0.75,0.0,0.0,0.0,0.0,0.0,False
1.0,0.0,0.0,0.0,0.0,0.0,False
1.25,0.0,0.0,0.0,0.0,0.0,False
1.5,0.0,0.0,0.0,0.0,0.0,False
1.75,0.0,0.0,0.0,0.0,0.0,False
2.0,0.0,0.0,0.0,0.0,1.98008791311221,False
2.25,0.0,0.0,0.0,0.0,3.96017582622442,False
2.5,0.0,0.0,0.0,0.0,5.940263739336631,False
2.75,0.0,0.0,0.0,0.0,7.92035165244884,False
3.0,0.025,0.0,0.025,17.82079121800989,7.81658253164615,False
3.25,0.025,0.0,0.025,17.82079121800989,7.7128134108434585,False
3.5,0.025,0.0,0.025,17.82079121800989,7.609044290040769,False
3.75,0.025,0.0,0.025,17.82079121800989,7.505275169238079,False
4.0,0.018750000000000003,0.020060158,-0.0013101579999999988,-0.9339220872242152,7.303692834066546,False
4.25,0.018750000000000003,0.020060158,-0.0013101579999999988,-0.9339220872242152,5.122022585782806,False
4.5,0.018750000000000003,0.020060158,-0.0013101579999999988,-0.9339220872242152,2.9403523374990646,False
4.75,0.018750000000000003,0.020060158,-0.0013101579999999988,-0.9339220872242152,0.758682089215323,False
5.0,0.0125,0.015045118500000001,-0.0025451185000000005,-1.8142410165437806,-1.5208013734372587,False
5.25,0.0125,0.015045118500000001,-0.0025451185000000005,-1.8142410165437806,-1.71642780217494,False
5.5,0.0125,0.015045118500000001,-0.0025451185000000005,-1.8142410165437806,-1.912054230912621,False
5.75,0.0125,0.015045118500000001,-0.0025451185000000005,-1.8142410165437806,-2.1076806596503017,False
6.0,0.00625,0.010030079,-0.0037800790000000004,-2.694559945863345,1.1738939074747714,False
6.25,0.00625,0.010030079,-0.0037800790000000004,-2.694559945863345,4.553281688968685,False
6.5,0.00625,0.010030079,-0.0037800790000000004,-2.694559945863345,7.932669470462599,False
6.75,0.00625,0.010030079,-0.0037800790000000004,-2.694559945863345,11.312057251956512,False
7.0,0.066761387,0.026639362299999997,0.04012202470000001,28.600249016901444,14.19490024480174,False
7.25,0.066761387,0.026639362299999997,0.04012202470000001,28.600249016901444,17.175556452015808,False
7.5,0.066761387,0.026639362299999997,0.04012202470000001,28.600249016901444,20.156212659229876,False
7.75,0.066761387,0.026639362299999997,0.04012202470000001,28.600249016901444,23.136868866443944,False
8.0,0.050071040250000004,0.0162182421,0.03385279815,24.13134591906326,25.22377152110011,False
8.25,0.050071040250000004,0.0162182421,0.03385279815,24.13134591906326,23.833473179893527,False
8.5,0.050071040250000004,0.0162182421,0.03385279815,24.13134591906326,22.44317483868694,False
8.75,0.050071040250000004,0.0162182421,0.03385279815,24.13134591906326,21.05287649748035,False
9.0,0.0333806935,0.010812161399999999,0.022568532100000004,16.087563946042177,20.653565074256033,False
9.25,0.0333806935,0.010812161399999999,0.022568532100000004,16.087563946042177,20.750798439680395,False
9.5,0.0333806935,0.010812161399999999,0.022568532100000004,16.087563946042177,20.848031805104764,False
9.75,0.0333806935,0.010812161399999999,0.022568532100000004,16.087563946042177,20.945265170529126,False
10.0,0.04048651835,0.0054060806999999995,0.035080437650000004,25.006446207882544,20.352518132188163,False
10.25,0.04048651835,0.0054060806999999995,0.035080437650000004,25.006446207882544,20.653524646405092,False
10.5,0.04048651835,0.0054060806999999995,0.035080437650000004,25.006446207882544,20.95453116062202,False
10.75,0.04048651835,0.0054060806999999995,0.035080437650000004,25.006446207882544,21.255537674838955,False
