minute,home_recent_value,away_recent_value,raw_momentum,momentum,momentum_smoothed,is_hydration_break
0.0,0.0,0.0,0.0,0.0,-8.417093647027171,False
0.25,0.0,0.0,0.0,0.0,-14.028489411711952,False
0.5,0.0,0.0,0.0,0.0,-18.03662924362965,False
0.75,0.0,0.0,0.0,0.0,-21.042734117567928,False
1.0,0.0,0.05739269300000001,-0.05739269300000001,-42.085468235135856,-22.21177490187726,False
1.25,0.0,0.05739269300000001,-0.05739269300000001,-42.085468235135856,-25.718897254805245,False
1.5,0.0,0.05739269300000001,-0.05739269300000001,-42.085468235135856,-29.226019607733235,False
1.75,0.0,0.05739269300000001,-0.05739269300000001,-42.085468235135856,-32.73314196066122,False
2.0,0.0,0.04304451975000001,-0.04304451975000001,-31.564101176351894,-35.07122352927988,False
2.25,0.0,0.04304451975000001,-0.04304451975000001,-31.564101176351894,-32.73314196066122,False
2.5,0.0,0.04304451975000001,-0.04304451975000001,-31.564101176351894,-30.395060392042563,False
2.75,0.0,0.04304451975000001,-0.04304451975000001,-31.564101176351894,-28.056978823423904,False
3.0,0.0,0.028696346500000004,-0.028696346500000004,-21.042734117567928,-25.907336039074814,False
3.25,0.0,0.028696346500000004,-0.028696346500000004,-21.042734117567928,-24.92673403903505,False
3.5,0.0,0.028696346500000004,-0.028696346500000004,-21.042734117567928,-23.946132038995287,False
3.75,0.0,0.028696346500000004,-0.028696346500000004,-21.042734117567928,-22.965530038955524,False
4.0,0.0,0.031009142050000004,-0.031009142050000004,-22.738683175994034,-20.476517362461706,False
4.25,0.0,0.031009142050000004,-0.031009142050000004,-22.738683175994034,-19.156545470277226,False
4.5,0.0,0.031009142050000004,-0.031009142050000004,-22.738683175994034,-17.83657357809274,False
4.75,0.0,0.031009142050000004,-0.031009142050000004,-22.738683175994034,-16.516601685908253,False
5.0,0.0,0.012495726600000001,-0.012495726600000001,-9.16298708790755,-14.85725990157904,False
5.25,0.0,0.012495726600000001,-0.012495726600000001,-9.16298708790755,-13.009479332980264,False
5.5,0.0,0.012495726600000001,-0.012495726600000001,-9.16298708790755,-11.161698764381486,False
5.75,0.0,0.012495726600000001,-0.012495726600000001,-9.16298708790755,-9.31391819578271,False
6.0,0.0,0.008330484400000001,-0.008330484400000001,-6.108658058605035,-7.126767735039206,False
6.25,0.0,0.008330484400000001,-0.008330484400000001,-6.108658058605035,-6.448027950749758,False
6.5,0.0,0.008330484400000001,-0.008330484400000001,-6.108658058605035,-5.76928816646031,False
6.75,0.0,0.008330484400000001,-0.008330484400000001,-6.108658058605035,-5.090548382170862,False
7.0,0.0,0.0041652422000000005,-0.0041652422000000005,-3.0543290293025174,-4.07243870573669,False
7.25,0.0,0.0041652422000000005,-0.0041652422000000005,-3.0543290293025174,-3.3936989214472413,False
7.5,0.0,0.0041652422000000005,-0.0041652422000000005,-3.0543290293025174,-2.714959137157793,False
7.75,0.0,0.0041652422000000005,-0.0041652422000000005,-3.0543290293025174,-2.036219352868345,False
8.0,0.0,0.0,0.0,0.0,-1.3574795685788965,False
8.25,0.0,0.0,0.0,0.0,-1.0181096764341726,False
8.5,0.0,0.0,0.0,0.0,-0.6787397842894483,False
8.75,0.0,0.0,0.0,0.0,-0.33936989214472413,False
9.0,0.0,0.0,0.0,0.0,0.0,False
9.25,0.0,0.0,0.0,0.0,0.0,False
9.5,0.0,0.0,0.0,0.0,0.0,False
9.75,0.0,0.0,0.0,0.0,0.0,False
10.0,0.0,0.0,0.0,0.0,2.0369157173184558,False
10.25,0.0,0.0,0.0,0.0,4.0738314346369116,False
10.5,0.0,0.0,0.0,0.0,6.110747151955367,False
10.75,0.0,0.0,0.0,0.0,8.147662869273823,False
11.0,0.025,0.0,0.025,18.3322414558661,9.675349657262664,False
11.25,0.025,0.0,0.025,18.3322414558661,11.203036445251506,False
11.5,0.025,0.0,0.025,18.3322414558661,12.730723233240347,False
11.75,0.025,0.0,0.025,18.3322414558661,14.258410021229189,False
12.0,0.018750000000000003,0.0,0.018750000000000003,13.749181091899578,15.276867879888417,False
12.25,0.018750000000000003,0.0,0.018750000000000003,13.749181091899578,14.258410021229189,False
12.5,0.018750000000000003,0.0,0.018750000000000003,13.749181091899578,13.239952162569963,False
12.75,0.018750000000000003,0.0,0.018750000000000003,13.749181091899578,12.221494303910735,False
13.0,0.0125,0.0,0.0125,9.16612072793305,18.841470385195716,False
13.25,0.0125,0.0,0.0125,9.16612072793305,25.970675395810314,False
13.5,0.0125,0.0,0.0125,9.16612072793305,33.09988040642491,False
13.75,0.0125,0.0,0.0125,9.16612072793305,40.2290854170395,False
14.0,0.10625000000000001,0.0,0.10625000000000001,77.91202618743094,44.81214578100603,False
14.25,0.10625000000000001,0.0,0.10625000000000001,77.91202618743094,49.90443507430217,False
14.5,0.10625000000000001,0.0,0.10625000000000001,77.91202618743094,54.99672436759832,False
14.75,0.10625000000000001,0.0,0.10625000000000001,77.91202618743094,60.08901366089445,False
15.0,0.07500000000000001,0.0,0.07500000000000001,54.99672436759831,63.144387236872134,False
15.25,0.07500000000000001,0.0,0.07500000000000001,54.99672436759831,58.56132687290561,False
15.5,0.07500000000000001,0.0,0.07500000000000001,54.99672436759831,53.97826650893908,False
