break_number,interval,before_avg_momentum,after_avg_momentum,delta_after_minus_before,before_leader,after_leader
1,23' to 26',-5.225489810518201,-16.113720410930593,-10.888230600412392,Spain,Spain
2,68' to 72',-41.0350843157026,-28.214832454819714,12.820251860882884,Spain,Spain
