break_number,interval,before_avg_momentum,after_avg_momentum,delta_after_minus_before,before_leader,after_leader
1,23' to 26',10.777895409175237,-4.810753437149084,-15.588648846324322,USA,Bosnia and Herzegovina
2,69' to 72',-33.640626399745095,-27.599797913194777,6.040828486550318,Bosnia and Herzegovina,Bosnia and Herzegovina
