start_minute,start_label,start_timestamp,end_minute,end_label,end_timestamp,period
23.0,23',2026-07-02T00:22:44.27Z,26.0,26',2026-07-02T00:25:50.413Z,3
79.0,69',2026-07-02T01:34:18.493Z,82.0,72',2026-07-02T01:37:28.493Z,5
