start_minute,start_label,start_timestamp,end_minute,end_label,end_timestamp,period
24.0,24',2026-07-02T19:23:13.626Z,27.0,27',2026-07-02T19:27:05.938Z,3
73.0,68',2026-07-02T20:29:33.601Z,76.0,71',2026-07-02T20:32:50.675Z,5
