start_minute,start_label,start_timestamp,end_minute,end_label,end_timestamp,period
24.0,24',2026-07-07T00:23:29.603Z,27.0,27',2026-07-07T00:26:32.47Z,3
76.0,69',2026-07-07T01:32:12.118Z,79.0,72',2026-07-07T01:35:14.151Z,5
